station_id,device_network,organisation_name,on_street,location_type,post_code,latitude,longitude,Connector,Connector_Type,Connector_KW,Connector_Type_List,Connector_Type_Merged_KW,Charger_Category
9a8bf55dbb149d31677a2bb1a3370224,Charge Your Car,Charge Your Car,False,Other,NE1 3UG,54.969204,-1.607213,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
f0838b2ebfc6440a474eabdc326bf31a,Charge Your Car,Charge Your Car,False,Other,NE30 4JF,55.028069,-1.429838,Single Phase AC,3-pin Type G (BS1363),3.0,['3-pin Type G (BS1363)'],['3-pin Type G (BS1363) 3.0'],Slow
72e754f660f88907d334e4436de03081,Charge Your Car,Charge Your Car,False,Other,NE30 4JF,55.028169,-1.429938,Single Phase AC,3-pin Type G (BS1363),3.0,['3-pin Type G (BS1363)'],['3-pin Type G (BS1363) 3.0'],Slow
e3fce7f4788a4b8a7e0304aff2b6f974,Charge Your Car,Charge Your Car,False,Other,NE26 1QF,55.049481,-1.450662,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
042237eae50957fe509d3de0ea08f7e1,Charge Your Car,Charge Your Car,False,Other,NE26 1QF,55.049504,-1.450762,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
ebd83293e15f358a34de4f3e805d8469,Charge Your Car,Charge Your Car,False,Other,NE33 2LD,55.002249,-1.419548,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
f51cf26546d2015352cabae5d9b01b81,Charge Your Car,Charge Your Car,False,Other,NE33 2LD,55.002283,-1.419605,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
647eb61673d5e4df8a069bde0d77fff5,Charge Your Car,Charge Your Car,False,Other,NE33 1ES,54.994726,-1.44024,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
197728ce327b582d7ccd6adb5f2d4f7a,Charge Your Car,Charge Your Car,False,Other,NE33 1ES,54.994944,-1.440194,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
6546822e37fb3be79b5fe7e92e11087c,Charge Your Car,Charge Your Car,False,Other,NE33 1ES,54.994866,-1.440152,Single Phase AC,Type 2 Mennekes (IEC62196),7.0,['Type 2 Mennekes (IEC62196)'],['Type 2 Mennekes (IEC62196) 7.0'],Fast
